student_id,first_name,last_name,email,program_name,year
1,Danielle,Gould,vporter@example.com,CS,2
2,Angel,Strong,erik19@example.net,Physics,1
3,Joshua,Warner,allenkimberly@example.com,Math,3
4,Jeffrey,Cannon,meganwoods@example.com,DS,3
5,Jill,Johnson,stanleyclark@example.org,DS,2
6,Erica,Zavala,gregoryschneider@example.com,CyberSec,4
7,Patricia,Dodson,rodriguezcharles@example.com,CS,3
8,Christopher,George,denise76@example.net,Math,1
9,Robert,Salazar,novakdaniel@example.org,IT,4
10,Anthony,Miller,chaneric@example.net,CS,1
11,Jeffery,Arnold,daniel48@example.com,DS,3
12,William,Potts,antoniothompson@example.org,CyberSec,2
13,Anthony,Nelson,amoses@example.org,Physics,3
14,James,Williams,jacobroach@example.net,Physics,4
15,Debra,Johnson,kcooley@example.net,Physics,3
16,Amy,Romero,davistiffany@example.com,Physics,3
17,Jeffrey,Santos,erikaadams@example.org,DS,4
18,Bridget,Reynolds,hendersonanthony@example.org,CS,3
19,Lisa,Turner,wmarshall@example.org,Physics,4
20,Adam,Horn,lindamiller@example.org,DS,2
21,Linda,Mata,ceaton@example.com,DS,1
22,Helen,Smith,pughkelly@example.org,SE,1
23,Matthew,Brown,jackconley@example.org,IT,3
24,Eric,Ayala,sabrina69@example.org,CyberSec,3
25,Susan,Shepherd,royscott@example.net,Physics,1
26,Matthew,Ferguson,kimberly63@example.net,Math,1
27,Christopher,Dalton,fernandezsusan@example.org,SE,4
28,Colin,Fleming,uavila@example.com,Physics,3
29,Melanie,Rojas,mooremichael@example.net,DS,4
30,Cassandra,Tran,daniel93@example.net,DS,1
31,Lindsay,Williams,davidhaynes@example.com,DS,1
32,Jessica,Cannon,ambermiller@example.net,IT,2
33,Amanda,Dominguez,shortjeffrey@example.net,CS,4
34,Teresa,Jordan,evanskelsey@example.com,DS,3
35,Nicholas,Simmons,martinezrussell@example.com,CyberSec,4
36,Andrea,Taylor,vfoster@example.org,CS,2
37,Maria,Kim,jroy@example.net,CyberSec,2
38,Christine,Prince,michael39@example.com,Physics,3
39,Michelle,Haas,cindy95@example.org,IT,4
40,Barbara,Richardson,gsharp@example.net,Math,2
41,Janet,Lee,aturner@example.com,IT,3
42,Brandon,Kim,wchaney@example.com,Physics,4
43,Jeremy,Brown,jacksonamy@example.net,Math,2
44,Keith,Hall,cunninghammegan@example.org,SE,4
45,Christopher,Chapman,martinkelsey@example.com,CS,3
46,Jesse,Perez,nicole39@example.org,CyberSec,4
47,Craig,Burgess,jonathon90@example.net,DS,2
48,Joshua,Beasley,glennmoore@example.org,CyberSec,3
49,Cynthia,Mcguire,jamiesmith@example.org,Math,2
50,Michael,Bradley,michaelwilliams@example.com,Physics,3
51,Mitchell,Ritter,maurice01@example.net,Physics,2
52,Jason,Smith,veronicacampbell@example.net,IT,3
53,Joseph,Cortez,perezrichard@example.net,SE,4
54,Sharon,Hess,heather39@example.org,DS,2
55,Deborah,Jones,jamesmartin@example.org,DS,2
56,Chelsea,Martinez,lellison@example.com,CS,2
57,George,White,adrianmedina@example.com,DS,3
58,Jessica,Williams,daviddecker@example.com,IT,3
59,Frank,Bailey,christopher90@example.com,Physics,3
60,Noah,Rios,karen65@example.net,Math,1
61,Veronica,Sanchez,stephaniewilson@example.org,CyberSec,1
62,Danielle,Carter,emorales@example.com,Physics,1
63,Angela,Obrien,xparker@example.com,SE,4
64,Gabrielle,Mendoza,cameronsmith@example.org,CyberSec,4
65,Megan,Martinez,danielle93@example.com,SE,1
66,Kimberly,Jones,christy19@example.org,SE,1
67,Jeremy,Wright,randalljones@example.org,CyberSec,4
68,Antonio,Stephens,olsonjesse@example.com,SE,3
69,Leslie,Simpson,sherrywyatt@example.com,CS,2
70,Joseph,Moss,qflores@example.net,DS,3
71,Jason,Kelly,gking@example.org,Physics,1
72,Sherri,Herman,zamoraronald@example.com,IT,1
73,Nancy,Robinson,anthonyduncan@example.org,DS,2
74,Leonard,Marquez,leslie24@example.org,CS,4
75,Diana,Pugh,gabrielrodriguez@example.com,Math,4
76,Randall,Deleon,michellegomez@example.com,DS,1
77,Robin,Carter,nelsonjennifer@example.org,SE,3
78,Stephen,Valdez,perkinsdaniel@example.org,IT,4
79,Joseph,Rose,holmesscott@example.net,DS,4
80,John,Adams,qlittle@example.com,Math,4
81,Anna,Wolfe,nicholasfigueroa@example.org,CyberSec,1
82,Jose,Gordon,tarashaw@example.org,DS,1
83,Brenda,Brown,courtney58@example.org,IT,1
84,Rachael,Mccullough,jillcosta@example.com,Physics,1
85,Reginald,Thornton,bvasquez@example.com,Math,1
86,Jeffrey,Howell,mgallegos@example.org,Math,2
87,Whitney,Ramirez,katherinechapman@example.net,CS,3
88,William,Harris,wgomez@example.net,SE,2
89,Christopher,Taylor,martintanner@example.net,Physics,2
90,Brandon,Daugherty,susan40@example.net,Physics,1
91,Daniel,Hall,dana58@example.net,DS,1
92,Courtney,Harmon,mariaweaver@example.com,Physics,4
93,Laura,Clark,epage@example.org,Physics,3
94,Robert,Watson,bkramer@example.net,SE,1
95,Bryan,Velasquez,raymond29@example.org,CyberSec,4
96,Patrick,Thomas,kevin35@example.net,SE,4
97,Wendy,Spence,christopher96@example.org,IT,4
98,Allison,Hale,geraldkane@example.org,Math,1
99,Tasha,Santos,fergusonmichael@example.net,Math,3
100,Michelle,Chavez,tjackson@example.com,CS,4
101,Alexander,Wilson,andrealopez@example.com,Physics,4
102,Jennifer,Porter,debbiedavis@example.org,IT,1
103,Erin,Johnson,johnhill@example.com,Physics,4
104,Amanda,Ramirez,brookefrench@example.net,CS,2
105,Joseph,Cruz,sfoster@example.com,Physics,2
106,Danielle,Wilcox,taylorraymond@example.com,Physics,3
107,Daniel,Miller,maria09@example.com,Physics,4
108,Ryan,Ramirez,elee@example.com,Math,1
